"wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"und" 3.72670371124895 3.23170225139154 3.19058136158456 3.55674075690717 3.42115091344807 3.29387858775718 3.37386280343207 2.62135648378935 3.80558269211771 4.0487966392815 4.26140146840792
"die" 3.26868093655823 3.15811960740099 2.68990822459018 3.15230216268935 3.37368896081666 2.77978155956312 3.5635752166602 2.81511300896359 3.11515537358814 3.06065434679138 3.26796225108533
"der" 2.41445441198165 2.06980856644394 2.15491829964715 2.48664943426338 2.15523948834459 1.87655575311151 2.16660199198034 2.21126985769242 2.47851333106484 2.19874593878691 2.28872770532409
"das" 2.04143279639764 2.01996225922453 1.79943157320475 1.84895957660122 1.84868195823348 1.95478790957582 1.76346311387056 2.13038121126045 2.10750469249092 2.05285267884858 1.97711272294676
"er" 1.81031394229756 1.57015867741132 2.59839679006045 2.14086466652572 2.70144097600448 1.38277876555753 1.90574742379166 1.29798060553617 2.10311405771489 0.956066469383109 1.65040527703549
"in" 1.3234891219591 1.2259817942297 1.69032178588084 1.52840959467478 1.662724471694 1.34010668021336 1.76561893674816 1.19734008032431 1.45330011086353 1.4620367112969 1.39738456484876
"sie" 1.51105366312846 1.09543194198839 1.30579777732804 1.21331578265347 1.32737854408515 1.06985013970028 1.90143577803648 1.15125236317121 2.06030536864867 1.33890693872483 1.55097257610597
"sich" 1.24270289636181 0.802288182864738 1.47386204651245 1.28083588522947 1.54368055771685 0.969265938531877 1.46164791100763 0.719532726982007 1.34353424146296 0.968482917037436 1.05913582329389
"den" 1.20617347261347 1.10611329353541 1.09725729671703 1.21740791008232 1.34605209921882 0.972313944627889 1.14905359375674 1.04120618139749 1.35780380448503 1.01090577985638 1.19052903523646
"mit" 1.23708298501591 1.10255284301974 0.967029486040107 1.16011812607845 1.10173975288662 0.912369824739649 1.16845599965507 1.10798634298667 1.10204932878171 1.35339279432154 1.18697786734612
"nicht" 1.03336119872709 1.11442101140531 1.21516626043802 1.0850957898829 0.889328063241107 1.12979425958852 0.963652826283793 1.15971745407688 0.997771752851168 0.975725844835792 1.00853168085654
"ein" 0.943442617192714 0.955387555038631 1.1042966378347 1.07827557750148 0.91811646073885 0.933705867411735 1.05850903289786 1.01957317130522 1.05704532232748 0.926060054218488 0.948161826720763
"auf" 0.915343060463221 0.726331905197071 0.945911462687092 0.962331967017453 0.906445488780306 0.79756159512319 0.927003837364722 0.889775110751606 0.923130961658782 0.838110216667012 0.8158808228056
"zu" 0.847201635394202 0.615957939211242 1.0647003440478 0.984838667876118 1.04571908748561 0.796545593091186 1.02832751261156 0.644287474487157 0.868248026958498 0.908470086708193 0.717335913848667
"es" 0.924475416400306 0.58154025089308 1.10517655547441 0.857982717581826 0.88232548006598 0.733553467106934 0.920536368731945 0.754333656260875 1.02740853758932 0.735674523518821 0.845177957900905
"war" 0.195291919269974 0.766683677708019 1.07261960280518 1.08986993854989 0.966356478167502 0.718313436626873 1.10809295908248 0.709186504763965 1.24803793508446 0.904331270823417 0.452773906018342
"dem" 0.859143947004236 0.579166617215965 0.757609087789383 0.907088246728003 0.836419657029037 0.50495300990602 0.823524339240288 0.715770464357264 0.981306872441083 0.743952155288372 0.773266808121521
"man" 0.89216092616139 0.848574039568473 0.666097653259655 0.549709117941933 0.336902057203324 0.967233934467869 0.588539645582719 0.838043999661396 0.692622635917588 0.796722057819258 0.988112465487087
"von" 0.74815069792274 0.6254524739197 0.781366864061524 0.699753790333031 0.844200305001401 0.626873253746507 0.840770922261027 0.592556363396947 0.72006410326773 0.810173209444778 0.669395147329078
"so" 0.656124649633652 0.796354098671952 0.496273548795833 0.585174222325283 0.472285331922442 0.7000254000508 0.43547622127366 0.785372322915001 0.545536370920826 0.645655278024957 0.743969673026217
"auch" 0.662447049897788 0.522199408965214 0.692495182450923 0.625413475375623 0.459058230369425 0.574041148082296 0.510930021989393 0.585031838147462 0.694817953305599 0.623926494629886 0.630332300535339
"an" 0.628727581822397 0.472353101745808 0.622101771274209 0.641781985091016 0.687809280756901 0.531369062738125 0.644591040400121 0.455233777593845 0.701403905469633 0.533907249136022 0.54332868722201
"hatte" 0.106778315572072 0.630199741273929 0.801604969774829 0.813651337102637 0.646571846503377 0.359664719329439 0.83430345362825 0.519192242214468 1.20522924601824 0.556670736502287 0.190875274105772
"wie" 0.597115580501718 0.642067909659502 0.557867783575457 0.450816038411436 0.571877625968691 0.67259334518669 0.541111542275687 0.703543110826851 0.492848753608553 0.56287896032945 0.601035165440034
